shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
B10153,40.5763852024,-73.967173695,150005
B10153,40.5765496602,-73.9663780629,150006
B10153,40.5766455913,-73.9659136424,150007
B10153,40.5766647803,-73.9658308376,150008
B10153,40.5767415305,-73.9654826986,150009
B10153,40.5767415305,-73.9654826986,160001
B10153,40.5768265026,-73.9650963968,160002
B10153,40.5768648892,-73.9649631843,160003
B10153,40.5770183603,-73.9641927456,160004
B10153,40.5770989386,-73.9638136425,160005
B10153,40.5770989386,-73.9638136425,170001
B10153,40.5772129523,-73.9632782882,170002
B10153,40.5774102819,-73.962363824,170003
B10153,40.5775810202,-73.9615706841,170004
B10153,40.5775810202,-73.9615706841,180001
B10153,40.5776048629,-73.9614601554,180002
B10153,40.57761583,-73.9614241507,180003
B10153,40.5777966995,-73.9605780823,180004
B10153,40.5779441228,-73.9598652241,180005
B10153,40.5779441228,-73.9598652241,190001
B10153,40.5779665924,-73.9597572149,190002
B10153,40.5779912526,-73.9596348049,190003
B10153,40.5781227836,-73.9590155488,190004
B10153,40.5782433543,-73.9584574948,190005
B10153,40.5782816639,-73.9581334825,190006
B10153,40.5782678214,-73.9578095027,190007
B10153,40.5782452678,-73.9576838814,190008
B10153,40.5782452678,-73.9576838814,200001
B10153,40.5782375663,-73.9576403279,200002
B10153,40.5780286913,-73.9569132888,200003
B10153,40.5779462472,-73.9566469527,200004
B10153,40.5777648649,-73.956053096,200005
B10153,40.5776824188,-73.9557867621,200006
B10153,40.5775392373,-73.9553278782,200007
B10153,40.5775392373,-73.9553278782,210001
B10153,40.5775037852,-73.9552145072,210002
B10153,40.5773938439,-73.9548329995,210003
B10153,40.5773581077,-73.9546962304,210004
B10153,40.5773443325,-73.9545666461,210005
B10153,40.5773552361,-73.9543758481,210006
B10153,40.5773194879,-73.9542102807,210007
B10153,40.5773323472,-73.954106957,210008
B10153,40.5773323472,-73.954106957,220001
B10153,40.5773523204,-73.9539474711,220002
B10153,40.5767429291,-73.953832698,220003
B10153,40.5767648049,-73.9536274948,220004
B10153,40.5768169066,-73.9535050656,220005
B10153,40.5768620192,-73.9530708988,220006
B10153,40.5768620192,-73.9530708988,230001
B10153,40.576882525,-73.9528750554,230002
B10153,40.5768440387,-73.9527310907,230003
B10153,40.5769342734,-73.9519030728,230004
B10153,40.5770354429,-73.9509850495,230005
B10153,40.5770835631,-73.9505458376,230006
B10153,40.5770835631,-73.9505458376,240001
B10153,40.5771366035,-73.9500634236,240002
B10153,40.5772377584,-73.9491453947,240003
B10153,40.5772730193,-73.9488145445,240004
B10153,40.5772730193,-73.9488145445,250001
B10153,40.5773361594,-73.9482237653,250002
B10153,40.5774263643,-73.9474014949,250003
B10153,40.5774263643,-73.9474014949,260001
B10153,40.5774427644,-73.9472517292,260002
B10153,40.5775493611,-73.9462796899,260003
B10153,40.5776504874,-73.9453652494,260004
B10153,40.5777516029,-73.9444436065,260005
B10153,40.5777996999,-73.944007985,260006
B10153,40.5777996999,-73.944007985,270001
B10153,40.5778527128,-73.9435255607,270002
B10153,40.577953801,-73.9425787132,270003
B10153,40.5780576335,-73.9416462599,270004
B10153,40.5781024425,-73.9412426761,270005
B10153,40.5781024425,-73.9412426761,280001
B10153,40.5781587248,-73.9407354054,280002
B10153,40.5781860313,-73.9404617911,280003
B10153,40.5781228169,-73.9402998536,280004
B10153,40.5781090349,-73.9401882701,280005
B10153,40.5781347218,-73.9399693753,280006
B10153,40.5781347218,-73.9399693753,290001
B10153,40.5781374544,-73.9399459737,290002
B1C0047,40.578198564,-73.9397562057,10001
B1C0047,40.5782089943,-73.9397561963,10002
B1C0047,40.5782089943,-73.9397561963,20001
B1C0047,40.5782625178,-73.939756148,20002
B1C0047,40.5783778295,-73.9398136421,20003
B1C0047,40.5782767622,-73.9407568999,20004
B1C0047,40.5781756708,-73.941667756,20005
B1C0047,40.5780718399,-73.9426038108,20006
B1C0047,40.5780259345,-73.943019994,20007
B1C0047,40.5780259345,-73.943019994,30001
B1C0047,40.5779680049,-73.9435470623,30002
B1C0047,40.5778696397,-73.9444651075,30003
B1C0047,40.5778502364,-73.9446407963,30004
B1C0047,40.5778502364,-73.9446407963,40001
B1C0047,40.5777685222,-73.9453831521,40002
B1C0047,40.5776783298,-73.9462011097,40003
B1C0047,40.5776783298,-73.9462011097,50001
B1C0047,40.5776673975,-73.946301194,50002
B1C0047,40.5775608006,-73.9472732349,50003
B1C0047,40.5774514507,-73.9482452749,50004
B1C0047,40.5773503046,-73.9491669079,50005
B1C0047,40.57730875,-73.9495442007,50006
B1C0047,40.57730875,-73.9495442007,60001
B1C0047,40.5772491496,-73.9500849383,60002
B1C0047,40.577145244,-73.9510065678,60003
B1C0047,40.5771039563,-73.9513802583,60004
B1C0047,40.5771039563,-73.9513802583,70001
B1C0047,40.5770440743,-73.9519245926,70002
B1C0047,40.5769582164,-73.9527166107,70003
B1C0047,40.5769582164,-73.9527166107,80001
B1C0047,40.576953841,-73.9527562116,80002
B1C0047,40.576882525,-73.9528750554,80003
B1C0047,40.5768169066,-73.9535050656,80004
B1C0047,40.5767648049,-73.9536274948,80005
B1C0047,40.5767429291,-73.953832698,80006
B1C0047,40.5773523204,-73.9539474711,80007
B1C0047,40.5773194879,-73.9542102807,80008
B1C0047,40.5773552361,-73.9543758481,80009
B1C0047,40.5773538723,-73.9543974479,80010
B1C0047,40.5773538723,-73.9543974479,90001
B1C0047,40.5773443325,-73.9545666461,90002
B1C0047,40.5773581077,-73.9546962304,90003
B1C0047,40.5773938439,-73.9548329995,90004
B1C0047,40.5775037852,-73.9552145072,90005
B1C0047,40.5776824188,-73.9557867621,90006
B1C0047,40.5777648649,-73.956053096,90007
B1C0047,40.5778780916,-73.9564234462,90008
B1C0047,40.5778780916,-73.9564234462,100001
B1C0047,40.5779462472,-73.9566469527,100002
B1C0047,40.5780286913,-73.9569132888,100003
B1C0047,40.5782375663,-73.9576403279,100004
B1C0047,40.5782678214,-73.9578095027,100005
B1C0047,40.5782816639,-73.9581334825,100006
B1C0047,40.5782792009,-73.9581536433,100007
B1C0047,40.5782792009,-73.9581536433,110001
B1C0047,40.5782433543,-73.9584574948,110002
B1C0047,40.5781227836,-73.9590155488,110003
B1C0047,40.5779912526,-73.9596348049,110004
B1C0047,40.5779665924,-73.9597572149,110005
B1C0047,40.5777966995,-73.9605780823,110006
B1C0047,40.5777966995,-73.9605780823,120001
B1C0047,40.5777966995,-73.9605780823,120002
B1C0047,40.57761583,-73.9614241507,120003
B1C0047,40.5776048629,-73.9614601554,120004
B1C0047,40.5774102819,-73.962363824,120005
B1C0047,40.5773154551,-73.9628037755,120006
B1C0047,40.5773154551,-73.9628037755,130001
B1C0047,40.5772129523,-73.9632782882,130002
B1C0047,40.5770183603,-73.9641927456,130003
B1C0047,40.5769427216,-73.9645722051,130004
B1C0047,40.5769427216,-73.9645722051,140001
B1C0047,40.5768648892,-73.9649631843,140002
B1C0047,40.5768265026,-73.9650963968,140003
B1C0047,40.5766647803,-73.9658308376,140004
B1C0047,40.5766455913,-73.9659136424,140005
B1C0047,40.5765603497,-73.9663262207,140006
B1C0047,40.5765603497,-73.9663262207,150001
B1C0047,40.5765496602,-73.9663780629,150002
B1C0047,40.5763852024,-73.967173695,150003
B1C0047,40.5763577914,-73.9673033001,150004
B1C0047,40.57636053,-73.9672817002,150005
B1C0047,40.5763468265,-73.9673537022,150006
B1C0047,40.5763399848,-73.967424981,150007
B1C0047,40.5763399848,-73.967424981,160001
B1C0047,40.5763085122,-73.967753295,160002
B1C0047,40.5763030921,-73.9680016815,160003
B1C0047,40.5763389186,-73.9685236307,160004
B1C0047,40.576429492,-73.9685055891,160005
B1C0047,40.5784660036,-73.968040244,160006
B1C0047,40.5787577567,-73.9679724263,160007
B1C0047,40.5787577567,-73.9679724263,170001
B1C0047,40.5798026332,-73.9677300083,170002
B1C0047,40.5802291477,-73.9676340428,170003
B1C0047,40.5802291477,-73.9676340428,180001
B1C0047,40.5802994101,-73.9676181688,180002
B1C0047,40.5804229178,-73.967589309,180003
B1C0047,40.581426349,-73.9673540993,180004
B1C0047,40.581426349,-73.9673540993,190001
B1C0047,40.5815317422,-73.9673295675,190002
B1C0047,40.5825746971,-73.9670914504,190003
B1C0047,40.5827805227,-73.9669725452,190004
B1C0047,40.5833404238,-73.9668426631,190005
B1C0047,40.5836587972,-73.9667633015,190006
B1C0047,40.5837768057,-73.9667020399,190007
B1C0047,40.5838756121,-73.9666803895,190008
B1C0047,40.5841034155,-73.9666298733,190009
B1C0047,40.5843037731,-73.9665865708,190010
B1C0047,40.5845782369,-73.9665324303,190011
B1C0047,40.5852616511,-73.9663952784,190012
B1C0047,40.5854825919,-73.9663429634,190013
B1C0047,40.5854825919,-73.9663429634,200001
B1C0047,40.5856870649,-73.9662942567,200002
B1C0047,40.5858956799,-73.9663301542,200003
B1C0047,40.5866696593,-73.9661497478,200004
B1C0047,40.5888873029,-73.965640961,200005
B1C0047,40.5896448144,-73.9654677479,200006
B1C0047,40.5896503029,-73.9654641446,200007
B1C0047,40.5903501766,-73.9653017591,200008
B1C0047,40.5903639006,-73.965301752,200009
B1C0047,40.5911076875,-73.9651285384,200010
B1C0047,40.5910337762,-73.9657878396,200011
B1C0047,40.5910337762,-73.9657878396,210001
B1C0047,40.5909516476,-73.9665184344,210002
B1C0047,40.5908503561,-73.9674438266,210003
B1C0047,40.5908038162,-73.967875915,210004
B1C0047,40.5907490581,-73.9683728165,210005
B1C0047,40.5907055249,-73.9687714172,210006
B1C0047,40.5907055249,-73.9687714172,220001
B1C0047,40.5906477527,-73.9693018036,220002
B1C0047,40.5905382035,-73.9702235905,220003
B1C0047,40.5904974082,-73.9706203872,220004
B1C0047,40.5904974082,-73.9706203872,230001
B1C0047,40.5904423726,-73.9711525695,230002
B1C0047,40.590338299,-73.9720779488,230003
B1C0047,40.590281606,-73.9725939269,230004
B1C0047,40.590281606,-73.9725939269,240001
B1C0047,40.5902397008,-73.9729745188,240002
B1C0047,40.5901367308,-73.9739899047,240003
B1C0047,40.5901367308,-73.9739899047,250001
B1C0047,40.5901356354,-73.9740007067,250002
B1C0047,40.5901246741,-73.9740799222,250003
B1C0047,40.5901137208,-73.9741951428,250004
B1C0047,40.5901549145,-73.9742923407,250005
B1C0047,40.5902125874,-73.9744363391,250006
B1C0047,40.5906409285,-73.9751346797,250007
B1C0047,40.5910637766,-73.9758366318,250008
B1C0047,40.5912611989,-73.9761793348,250009
B1C0047,40.5912611989,-73.9761793348,260001
B1C0047,40.5914536778,-73.9765134002,260002
B1C0047,40.5919204355,-73.9772225558,260003
B1C0047,40.5921867786,-73.9777229514,260004
B1C0047,40.5923850131,-73.9780365004,260005
B1C0047,40.5923850131,-73.9780365004,270001
B1C0047,40.5925464555,-73.9782917328,270002
B1C0047,40.5926562818,-73.9784753301,270003
B1C0047,40.5928292594,-73.9787741288,270004
B1C0047,40.5935046788,-73.9798865283,270005
B1C0047,40.5937561749,-73.9803084554,270006
B1C0047,40.5937561749,-73.9803084554,280001
B1C0047,40.5939961382,-73.9807109451,280002
B1C0047,40.5941361605,-73.9809377505,280003
B1C0047,40.5947621413,-73.9819781917,280004
B1C0047,40.5950493194,-73.9824483756,280005
B1C0047,40.5950493194,-73.9824483756,290001
B1C0047,40.5954155648,-73.9830474518,290002
B1C0047,40.5956739126,-73.9834784032,290003
B1C0047,40.5956739126,-73.9834784032,300001
B1C0047,40.5958191467,-73.9837207023,300002
B1C0047,40.596066235,-73.984127536,300003
B1C0047,40.5965604072,-73.9849412124,300004
B1C0047,40.5966820294,-73.9851554364,300005
B1C0047,40.5966820294,-73.9851554364,310001
B1C0047,40.5967443504,-73.985265249,310002
B1C0047,40.5970408488,-73.985747702,310003
B1C0047,40.5974773566,-73.9864569876,310004
B1C0047,40.5978545624,-73.9870762706,310005
B1C0047,40.5978545624,-73.9870762706,320001
B1C0047,40.597924842,-73.9871914868,320002
B1C0047,40.5983723242,-73.9879403998,320003
B1C0047,40.5988005848,-73.9886569172,320004
B1C0047,40.599174484,-73.9892661427,320005
B1C0047,40.599174484,-73.9892661427,330001
B1C0047,40.599253546,-73.9893950459,330002
B1C0047,40.5997037591,-73.9901511901,330003
B1C0047,40.6001347504,-73.9908641346,330004
B1C0047,40.6004924422,-73.9914550212,330005
B1C0047,40.6004924422,-73.9914550212,340001
B1C0047,40.6005794627,-73.9915986929,340002
B1C0047,40.6010351497,-73.9923368609,340003
B1C0047,40.6014743617,-73.9930498329,340004
B1C0047,40.601857021,-73.9936619874,340005
B1C0047,40.601857021,-73.9936619874,350001
B1C0047,40.601949254,-73.9938096257,350002
B1C0047,40.6024213972,-73.9945838344,350003
B1C0047,40.6028276586,-73.9953184454,350004
B1C0047,40.6032048165,-73.9959407091,350005
B1C0047,40.6032048165,-73.9959407091,360001
B1C0047,40.6032750872,-73.9960566641,360002
B1C0047,40.6037280008,-73.9967984937,360003
B1C0047,40.6041616954,-73.9975115239,360004
B1C0047,40.6045339007,-73.9981287708,360005
B1C0047,40.6045339007,-73.9981287708,370001
B1C0047,40.6046091099,-73.9982533734,370002
B1C0047,40.6050565197,-73.9989952328,370003
B1C0047,40.6054819663,-73.9997190956,370004
B1C0047,40.6058626685,-74.0003396082,370005
B1C0047,40.6058626685,-74.0003396082,380001
B1C0047,40.6059348561,-74.0004573732,380002
B1C0047,40.6062214093,-74.0009341977,380003
B1C0047,40.6062214093,-74.0009341977,390001
B1C0047,40.6063849963,-74.0012064649,390002
B1C0047,40.6065139989,-74.0014225509,390003
B1C0047,40.606634767,-74.001624232,390004
B1C0047,40.6068214081,-74.001926755,390005
B1C0047,40.6072578154,-74.0026434532,390006
B1C0047,40.6074573535,-74.0029780354,390007
B1C0047,40.6074573535,-74.0029780354,400001
B1C0047,40.6077106858,-74.003403379,400002
B1C0047,40.6081443393,-74.0041128932,400003
B1C0047,40.6085944559,-74.0048548314,400004
B1C0047,40.608798928,-74.0051926686,400005
B1C0047,40.608798928,-74.0051926686,410001
B1C0047,40.6090939698,-74.0056796189,410002
B1C0047,40.6095797546,-74.0064900113,410003
B1C0047,40.6100765121,-74.0073112214,410004
B1C0047,40.6102831726,-74.0076523154,410005
B1C0047,40.6102831726,-74.0076523154,420001
B1C0047,40.6105238634,-74.0080496007,420002
B1C0047,40.6109547429,-74.0087663778,420003
B1C0047,40.6114048289,-74.0095119803,420004
B1C0047,40.6116389268,-74.0098981128,420005
B1C0047,40.6116389268,-74.0098981128,430001
B1C0047,40.611852166,-74.010250389,430002
B1C0047,40.6122857761,-74.0109707968,430003
B1C0047,40.6127331034,-74.0117128267,430004
B1C0047,40.6129916179,-74.0121422,430005
B1C0047,40.6129916179,-74.0121422,440001
B1C0047,40.6139894358,-74.0138002891,440002
B1C0047,40.6139894358,-74.0138002891,450001
B1C0047,40.6140640791,-74.0139245667,450002
B1C0047,40.6153840354,-74.0161183829,450003
B1C0047,40.6155909441,-74.016458811,450004
B1C0047,40.6155909441,-74.016458811,460001
B1C0047,40.6167204177,-74.0183158923,460002
B1C0047,40.616924027,-74.0186516505,460003
B1C0047,40.616924027,-74.0186516505,470001
B1C0047,40.617642414,-74.0198361873,470002
B1C0047,40.618056756,-74.0205242958,470003
B1C0047,40.6184710932,-74.0212160148,470004
B1C0047,40.6187067961,-74.021614837,470005
B1C0047,40.6187067961,-74.021614837,480001
B1C0047,40.6189375587,-74.0220050154,480002
B1C0047,40.6194232315,-74.0227976356,480003
B1C0047,40.6194506693,-74.0228480742,480004
B1C0047,40.6195055478,-74.0229345433,480005
B1C0047,40.6199610364,-74.0236551239,480006
B1C0047,40.6204357147,-74.024465775,480007
B1C0047,40.6206650972,-74.0248466072,480008
B1C0047,40.6206650972,-74.0248466072,490001
B1C0047,40.6209762432,-74.0253629147,490002
B1C0047,40.6214920723,-74.0262132306,490003
B1C0047,40.6214920723,-74.0262132306,490004
B1C0047,40.6214920723,-74.0262132306,500001
B1C0047,40.6208441741,-74.0267713122,500002
B1C0047,40.6218192834,-74.0283872993,500003
B1C0048,40.6218996726,-74.0285206159,10001
B1C0048,40.6219965237,-74.0286809565,10002
B1C0048,40.6220843667,-74.0286413696,10003
B1C0048,40.622789848,-74.0283534905,10004
B1C0048,40.6227212523,-74.0282562001,10005
B1C0048,40.6225305672,-74.0279391206,10006
B1C0048,40.6225305672,-74.0279391206,20001
B1C0048,40.6214920723,-74.0262132306,20002
B1C0048,40.6213773832,-74.0260240703,20003
B1C0048,40.6213773832,-74.0260240703,30001
B1C0048,40.6209762432,-74.0253629147,30002
B1C0048,40.6204357147,-74.024465775,30003
B1C0048,40.6202269119,-74.0241090871,30004
B1C0048,40.6202269119,-74.0241090871,40001
B1C0048,40.6199610364,-74.0236551239,40002
B1C0048,40.6195055478,-74.0229345433,40003
B1C0048,40.6194506693,-74.0228480742,40004
B1C0048,40.6194232315,-74.0227976356,40005
B1C0048,40.6193636888,-74.0227003589,40006
B1C0048,40.6193636888,-74.0227003589,50001
B1C0048,40.6189375587,-74.0220050154,50002
B1C0048,40.6184710932,-74.0212160148,50003
B1C0048,40.6182452663,-74.0208388108,50004
B1C0048,40.6182452663,-74.0208388108,60001
B1C0048,40.618056756,-74.0205242958,60002
B1C0048,40.617642414,-74.0198361873,60003
B1C0048,40.6167204177,-74.0183158923,60004
B1C0048,40.6165697681,-74.0180683979,60005
B1C0048,40.6165697681,-74.0180683979,70001
B1C0048,40.6154594996,-74.0162423057,70002
B1C0048,40.6154594996,-74.0162423057,80001
B1C0048,40.6153840354,-74.0161183829,80002
B1C0048,40.6140640791,-74.0139245667,80003
B1C0048,40.6138686891,-74.0135996444,80004
B1C0048,40.6138686891,-74.0135996444,90001
B1C0048,40.6128113166,-74.0118428631,90002
B1C0048,40.6128113166,-74.0118428631,100001
B1C0048,40.6127331034,-74.0117128267,100002
B1C0048,40.6122857761,-74.0109707968,100003
B1C0048,40.611852166,-74.010250389,100004
B1C0048,40.6114048289,-74.0095119803,100005
